Accession	AccessionNoIsoform	Gene	Description	NeuroMarker	LysosomalMarkers	HD1_IN	HD4_IN	HD5_IN	HD6_IN	HDKP_IN	HDRH_IN	HDSD_IN	HD1_FB	HD4_FB	HD5_FB	HD6_FB	HDKP_FB	HDRH_FB	HDSD_FB	C11_IN	C12_IN	CBS_IN	CGE_IN	CKK_IN	CKP_IN	TS_IN	C11_FB	C12_FB	CBS_FB	CGE_FB	CKK_FB	CKP_FB	TS_FB 
P54289-2	P54289	CACNA2D1	Isoform 2 of Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens OX=9606 GN=CACNA2D1			18.0025177	16.17431259	17.97401428	17.22016525	17.53294945	17.94720078	16.64642334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.64230728	15.64690971	16.25599861	14.97475052	16.72579765	16.94577599	17.91387749	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P50570-3	P50570	DNM2	Isoform 3 of Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2			16.78265572	17.70968819	18.10687065	17.29397583	17.36872864	17.79336166	16.67770004	NaN	NaN	14.68659401	NaN	NaN	15.16470051	NaN	16.71398544	16.26391602	17.5001812	16.8293972	17.0273056	16.52453804	16.6104126	NaN	15.81318665	NaN	15.96742153	15.22830868	14.90574741	NaN
P29692-3	P29692	EEF1D	Isoform 3 of Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D			16.42903328	16.21276474	18.19291306	16.28065872	17.42352295	17.89972305	17.0220108	19.48073006	19.74891853	19.60567665	19.66693115	19.61565018	19.27609253	19.12679291	16.89415741	15.56788445	16.80798912	17.34687233	16.53844261	17.20386696	17.71097183	19.50119781	19.11675835	19.32136154	19.03954315	19.16459274	19.19569588	19.29696465
Q14934-2	Q14934	NFATC4	"Isoform 2 of Nuclear factor of activated T-cells, cytoplasmic 4 OS=Homo sapiens OX=9606 GN=NFATC4"			17.49067879	17.59052849	15.95657539	16.81733704	17.17686653	16.69683838	16.98195648	17.91971779	16.23931313	18.74815559	18.77450943	17.62674332	18.63167953	19.2291069	17.56812668	17.9594059	17.96115875	19.03137398	17.39067078	17.75364304	15.23524284	18.27986526	18.72782898	17.30072594	19.02858543	19.25289917	19.28899193	17.19077301
P50747	P50747	HLCS	Biotin--protein ligase OS=Homo sapiens OX=9606 GN=HLCS PE=1 SV=1			17.44746017	16.87260056	17.44321632	16.09679413	17.35763359	17.45647049	16.75613403	18.25455093	18.1310997	18.25272369	17.88058853	17.84136963	18.20191383	17.99240875	17.69457245	19.71794319	18.15753937	17.78674507	18.26968575	18.3797226	17.70390511	18.25480461	17.67497826	17.80298805	17.15053558	17.99921608	17.98008347	18.30139923
P22670	P22670	RFX1	MHC class II regulatory factor RFX1 OS=Homo sapiens OX=9606 GN=RFX1 PE=1 SV=2			17.23568153	16.91718674	17.79270554	17.37988281	17.40815163	17.83314514	15.20683479	18.00238609	18.242939	17.9046917	18.38674927	17.76968956	17.68471718	17.31407166	17.51637077	14.89187717	17.15419769	16.19155312	16.95800018	17.22276115	16.52594185	18.0573101	17.15493774	17.65351105	17.36634064	17.36654663	17.65430069	17.91762161
Q96PV6	Q96PV6	LENG8	Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3			16.98626137	17.55867386	17.11961365	17.43123245	17.2214756	17.4071312	17.16202354	16.7530117	16.55799294	16.75018311	16.93445206	16.75282288	16.72698593	16.59056091	17.25116348	16.92917252	17.05418587	16.68958282	17.4337883	17.44520569	17.07835007	15.84977245	NaN	NaN	16.32494736	15.85231781	16.63925552	15.74148273
Q96T88-2	Q96T88	UHRF1	Isoform 2 of E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1			17.53140831	17.15197945	17.00301552	17.92200851	17.17280769	16.882658	16.05670547	20.60116768	21.02814102	20.58587646	20.99361801	20.80008316	20.78376007	19.12650681	17.34575653	15.3307476	17.08859444	16.57116699	17.37598801	16.97369957	16.35680199	20.3811245	19.04486847	20.16055679	18.50004387	18.3978138	18.17829132	20.25169373
Q13889	Q13889	GTF2H3	General transcription factor IIH subunit 3 OS=Homo sapiens OX=9606 GN=GTF2H3 PE=1 SV=2			16.5280323	16.94291878	17.5303421	17.37635803	17.36516953	16.9208622	16.79829597	17.67494392	16.56484222	17.36964226	17.68985748	17.79826736	17.67920685	17.90019226	17.40011597	16.59532738	17.48213768	16.54899788	17.50197792	17.1867981	16.59864426	17.06929779	17.71490479	17.69189835	17.70547295	17.55217743	17.58898163	17.27269745
P23378	P23378	GLDC	"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens OX=9606 GN=GLDC PE=1 SV=2"			16.90985489	16.12913513	16.51453972	16.47190666	17.21971321	18.03568459	17.35667229	NaN	NaN	NaN	NaN	15.27211094	15.57117939	NaN	16.37916756	15.70192432	17.06127739	NaN	16.73740005	16.55067444	18.11672592	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P25054	P25054	APC	Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2			17.44951248	18.36726761	17.80740166	17.27347755	17.36128998	17.31816101	18.26716232	19.58922386	19.32001495	NaN	19.29635239	17.95624161	18.67675781	19.35399628	17.33294487	18.38487434	17.79543495	18.96001053	18.38121033	18.15564537	17.58041382	17.40758133	18.38807297	19.09115601	17.26659775	18.91210175	17.64995575	19.30294609
Q9Y5U9	Q9Y5U9	IER3IP1	Immediate early response 3-interacting protein 1 OS=Homo sapiens OX=9606 GN=IER3IP1 PE=1 SV=1			18.00257874	17.27492714	16.39306259	17.14406967	17.38642502	16.57305908	17.3304348	17.25601196	17.12475204	16.99194908	16.23505402	16.71160507	16.22192001	17.04136848	17.46022987	18.29152298	17.84622002	17.54268456	17.98637772	17.23228073	16.40775681	17.1830864	16.18945503	17.05762863	16.44559669	16.9710331	16.70942116	16.31121635
P09651-2	P09651	HNRNPA1	Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1			NaN	NaN	16.80545807	NaN	17.47115326	17.4044857	16.43079758	17.39672279	18.32601166	18.03053474	17.59362793	17.88225937	17.78367424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.44753265	18.20121574	NaN	18.80405807	NaN	17.53995132	16.06615448	18.37146378
Q8WVK2	Q8WVK2	SNRNP27	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP27 PE=1 SV=1			16.41099548	16.95324707	18.20583725	17.30942917	17.35385132	17.40854836	18.00134087	17.01111031	16.70084	17.43154144	16.93170357	17.34711075	16.36923027	16.93712997	17.52243996	16.64868355	16.70869446	17.05805016	17.10363197	16.8115654	17.89720917	16.24777222	16.44470406	17.25058746	16.54436111	17.25278854	17.11414909	16.90326309
Q92968	Q92968	PEX13	Peroxisomal membrane protein PEX13 OS=Homo sapiens OX=9606 GN=PEX13 PE=1 SV=2			17.42831993	16.91494942	17.5547123	17.58045387	17.35109138	17.66184998	17.55887985	18.09374046	18.59790039	18.44581795	18.40454483	18.30690765	18.00161552	18.18122101	17.36480713	16.89748955	17.26880646	17.05528831	17.68497467	17.50694656	17.63594437	18.24806786	17.64496803	18.44276047	18.06362534	18.05194473	17.92094421	18.30413818
Q5SZQ8	Q5SZQ8	CELF3	CUGBP Elav-like family member 3 OS=Homo sapiens OX=9606 GN=CELF3 PE=1 SV=1			16.05254555	16.53510666	18.26315308	16.4720459	17.15521812	17.90764809	16.74949646	14.96103382	NaN	NaN	NaN	NaN	NaN	NaN	16.45821381	14.09937477	16.41784286	13.70668125	16.62614441	16.2442627	18.63138962	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H5X1	Q9H5X1	CIAO2A	Cytosolic iron-sulfur assembly component 2A OS=Homo sapiens OX=9606 GN=CIAO2A PE=1 SV=1			16.97099304	17.22141457	16.94177628	17.36485672	17.28060722	17.0306015	17.00915337	17.39042091	17.0594883	17.2235775	17.45179749	17.31635284	17.09835434	17.32769394	17.36936951	17.19277573	17.40876579	16.76118279	17.06961441	17.31363869	16.75192833	17.31979561	17.11254883	17.33320999	17.10375023	17.25746918	17.39313698	17.03615952
Q9H0E3	Q9H0E3	SAP130	Histone deacetylase complex subunit SAP130 OS=Homo sapiens OX=9606 GN=SAP130 PE=1 SV=1			17.04084778	18.14996529	17.22823334	18.05474663	17.31709099	17.49064636	17.35663795	16.98534584	17.15515137	17.11693192	17.27268791	16.85019684	16.89291382	16.79408646	17.59340286	17.54170799	17.57600594	16.6766243	17.65187073	16.8789196	17.32305145	17.08952713	16.29811478	16.74226761	16.06032562	16.65490341	17.11352921	16.35337639
Q9BUD6	Q9BUD6	SPON2	Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=3			14.39267731	18.30907059	18.75348091	19.24781609	17.3439846	18.05517578	17.44588852	NaN	15.37682247	NaN	NaN	NaN	NaN	NaN	16.65364265	16.74474907	17.12993813	16.73395729	18.10705948	17.19942665	16.73361778	NaN	NaN	NaN	NaN	14.65789795	NaN	NaN
P24468	P24468	NR2F2	COUP transcription factor 2 OS=Homo sapiens OX=9606 GN=NR2F2 PE=1 SV=1			16.2605648	16.41230202	17.57982254	16.72037315	17.25822639	17.44732285	16.61688614	17.14388847	18.75258446	18.23921585	18.84052849	18.13012314	18.01470375	17.15687943	16.61507034	16.16348267	16.79347229	16.79543686	17.58330154	16.79531097	17.39752579	16.93932152	16.4330101	15.96284199	17.60715866	18.11383438	17.29909325	18.56789017
O75817	O75817	POP7	Ribonuclease P protein subunit p20 OS=Homo sapiens OX=9606 GN=POP7 PE=1 SV=2			17.89623833	17.9658699	17.45248413	17.41459846	17.3459034	17.22639084	17.45883942	17.38265419	16.81054306	16.870121	16.65396881	17.14879608	16.64711761	16.45605469	17.18954468	17.16796875	17.24308205	17.14497185	17.44282532	17.23790359	16.79491234	16.61843681	NaN	16.09791565	16.52819443	16.24449348	16.23689079	16.82182693
Q9NSI2	Q9NSI2	FAM207A	Protein FAM207A OS=Homo sapiens OX=9606 GN=FAM207A PE=1 SV=2			16.33731461	16.02371788	15.63482475	15.78921318	17.27717972	15.86945152	17.09106445	18.2671833	18.1179142	18.41639519	18.42378044	18.73369598	18.6024704	17.78084564	16.76312065	NaN	15.41220093	17.32637215	15.09879398	15.82518196	16.02979279	17.88783646	17.90718269	18.28742981	17.69428635	16.05245399	17.9125824	18.24291611
P12821	P12821	ACE	Angiotensin-converting enzyme OS=Homo sapiens OX=9606 GN=ACE PE=1 SV=1			17.50801086	18.28661728	17.67341042	16.85946274	17.31258965	17.7109127	16.84522057	18.82650566	17.54347801	18.75682831	18.15162086	17.85618973	18.36563873	19.34185791	17.67798233	19.20339203	18.39919281	19.2696991	18.0672493	19.639925	17.61443329	18.56846809	19.21331596	18.97261047	19.62778473	19.70583344	19.14393997	18.13204193
Q9Y2K7	Q9Y2K7	KDM2A	Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3			17.03821373	17.17681885	17.40612984	17.57542801	17.32567406	17.32612038	17.1714859	16.55180931	16.5312252	16.9823761	16.98132896	17.16590881	16.63223267	16.72558212	17.24123573	17.14325333	17.22328568	15.99228477	17.10898972	17.31609917	17.02451515	15.17874718	16.07735634	16.07169342	16.80266571	15.02256393	15.57254791	16.0448246
P19532	P19532	TFE3	Transcription factor E3 OS=Homo sapiens OX=9606 GN=TFE3 PE=1 SV=4			17.35257912	15.90885925	NaN	15.86677265	17.32385445	16.38452148	17.08256531	18.16594505	18.19985199	18.2218895	18.17687607	18.388237	18.55527878	18.96514511	16.21526527	16.07439804	16.10323906	15.77721786	16.32582474	16.64863205	15.64162636	17.69663811	17.88871574	18.18740845	18.71414757	18.40188599	18.83245659	17.78985786
Q8IWZ8	Q8IWZ8	SUGP1	SURP and G-patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUGP1 PE=1 SV=2			16.25872231	16.3936367	17.08549118	17.31445503	17.47817039	17.54884338	17.37501335	16.75092125	17.85247421	16.91567802	17.19718552	17.12866783	17.26402473	16.47472382	16.43953323	14.9997673	15.3485527	16.00459671	16.60852814	16.59611702	18.0337925	17.64789963	16.1719017	16.51954651	16.80570793	16.32982254	17.2544136	15.14992046
Q96F24	Q96F24	NRBF2	Nuclear receptor-binding factor 2 OS=Homo sapiens OX=9606 GN=NRBF2 PE=1 SV=1			17.75779343	17.14336395	18.10974312	16.54265213	17.47743034	17.41064835	17.28170395	19.08038521	19.24511528	18.93113136	18.74374962	18.99381065	19.15768051	19.4540863	16.94947243	17.90647888	17.68657875	19.24380875	17.77004623	17.88661957	18.18637657	19.05011749	18.89606094	19.30302429	19.23377991	19.2912941	19.0563736	19.12818336
O43709-3	O43709	BUD23	Isoform 3 of Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23			15.19911957	17.39918518	17.07902145	17.50914574	17.33871078	17.57508278	15.87691116	15.89034843	17.19563866	16.58389473	15.65696907	17.33089828	17.28138161	16.4847374	16.58705902	15.39409828	16.98808098	16.63880539	17.08077621	17.33458138	17.88283348	16.77570152	NaN	16.91321373	14.70252991	15.59362221	14.53336716	16.5480423
Q9BZ29-5	Q9BZ29	DOCK9	Isoform 2 of Dedicator of cytokinesis protein 9 OS=Homo sapiens OX=9606 GN=DOCK9			16.4100647	15.81437302	17.55532837	16.44771385	17.32061958	17.30151176	17.45357513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.59373665	NaN	16.79887962	17.04109001	16.57485771	17.15909386	17.39915466	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P07205	P07205	PGK2	Phosphoglycerate kinase 2 OS=Homo sapiens OX=9606 GN=PGK2 PE=1 SV=3			17.21956825	17.71150589	17.229105	17.25243759	17.3273716	17.58416939	17.48150444	16.42594337	16.28033257	16.67331123	16.65668488	16.61696625	16.59846687	16.36493683	17.79055405	17.83084488	18.01418114	17.02528572	17.90407181	18.00017357	17.80514717	15.95692062	16.73043823	16.54098892	16.67672729	16.1385746	16.35189247	17.08102417
Q92574	Q92574	TSC1	Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=2			16.98749542	16.9668045	16.91196251	17.07866287	17.40106201	17.29170227	17.39010239	16.82432938	17.34078026	16.97075844	17.75577545	17.40012741	17.42719269	17.84521103	17.1423378	17.25181961	17.42509651	17.08813477	17.11933899	17.22421646	17.55150986	17.74085236	17.51337051	17.6962204	17.74247742	17.83529282	18.12124252	17.52078438
Q6ZT21	Q6ZT21	TMPPE	Transmembrane protein with metallophosphoesterase domain OS=Homo sapiens OX=9606 GN=TMPPE PE=2 SV=2			16.1744194	17.24940491	17.21685982	17.18111801	17.3196907	17.0167675	17.35108757	16.34187317	16.02549553	16.62800407	16.31981468	16.19896889	16.70099258	17.11567307	17.09678459	17.51161766	16.83732986	17.01930809	17.17624283	17.01404381	16.90341759	15.48546791	16.35082817	16.61828613	17.24560165	16.1435051	16.89715958	16.82474327
Q9Y4C8	Q9Y4C8	RBM19	Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3			16.88803482	16.9239521	17.09341812	17.15839577	17.3388958	17.20227814	16.98289108	17.44834137	17.59768867	17.52777863	17.73741913	17.66979218	17.53067207	17.07858658	17.31139374	15.13883591	17.16974831	16.78560829	17.29465485	17.10420418	17.1700325	17.33396149	16.291008	17.19098663	16.98138809	16.8949585	17.21717453	17.62056351
Q9NX74	Q9NX74	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like OS=Homo sapiens OX=9606 GN=DUS2 PE=1 SV=1			16.687006	16.77795029	17.20837784	17.13399506	17.31345749	17.06540298	16.93396759	16.54023552	16.64909172	16.77312469	17.04172516	17.02171516	16.11774063	15.82926178	17.08276939	16.29624939	17.0000248	15.52407646	16.88011932	16.98485947	16.38183403	17.15809441	15.50675106	17.00922394	15.59158897	15.91806984	14.14491558	16.42243958
P0DPB6	P0DPB6	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1			17.15354919	17.37930298	16.36719131	17.50746346	17.31345177	17.22788239	17.27916145	17.89660263	17.62149429	17.7142849	17.7676506	17.82331848	17.54163742	17.52074814	17.30718231	17.10703278	17.30181313	16.87851143	17.33108521	17.11315727	16.90611267	17.7491703	17.05072403	17.88749313	17.1735096	17.16350174	17.19704056	17.72776794
P84157	P84157	MXRA7	Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7 PE=1 SV=1			17.13694191	14.01905823	17.63860703	14.97220707	17.12008858	18.15885353	15.52039909	18.04686165	18.17435074	18.17359161	18.08467674	18.74905014	18.57720947	18.57717896	16.99496651	15.90230942	17.56165886	19.4740696	16.53139877	17.25606728	18.29876709	19.71703339	21.14263725	18.9141655	18.65041924	19.13973236	20.32409859	18.86863327
Q9NRG1	Q9NRG1	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PRTFDC1 PE=1 SV=1			17.75278664	18.81803513	17.85338974	18.05696106	17.34844971	17.1056385	17.58905029	19.11246872	18.73236275	18.79462051	19.17780495	18.64443207	19.26947403	18.24088669	17.56179047	18.40100479	18.07113075	18.20675659	18.35808754	18.03594017	17.12958145	18.76892281	18.96754646	18.39946365	19.15469551	19.10195923	18.65002441	18.43297958
Q9H939	Q9H939	PSTPIP2	Proline-serine-threonine phosphatase-interacting protein 2 OS=Homo sapiens OX=9606 GN=PSTPIP2 PE=1 SV=4			17.14984131	16.61577988	16.65823936	16.90040207	17.31418419	17.42114258	16.90634727	18.90110779	19.12925339	19.22066116	18.9971981	19.21916199	18.8295269	19.05487061	16.89730263	17.07581711	17.76039886	17.94196892	17.39850998	17.21913528	16.20977592	20.02130127	19.05648613	18.71420288	19.14680481	18.99802017	19.08047867	18.83036423
Q9H9B1	Q9H9B1	EHMT1	Histone-lysine N-methyltransferase EHMT1 OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=4			16.46580887	17.3268013	17.64176178	17.60372925	17.4610939	17.60075378	16.68539619	16.51156998	17.5983448	17.04984093	18.04579926	16.94253159	16.73908424	16.37922287	17.29071236	16.31536674	15.84433937	16.13042641	16.61795998	16.81590462	17.53020859	17.18348885	15.97808838	17.8291893	17.06152725	16.55713463	16.39192963	17.79717255
Q12962	Q12962	TAF10	Transcription initiation factor TFIID subunit 10 OS=Homo sapiens OX=9606 GN=TAF10 PE=1 SV=1			17.36392021	16.95872879	17.34576035	17.49885178	17.3918705	17.27537537	17.13966942	17.06188202	17.11858749	16.68670654	17.16351318	17.03882599	17.19942665	16.43516922	17.25094795	16.65236664	17.06844902	15.15923309	17.15450668	17.12732506	16.99954987	17.36569786	16.84100342	16.89011574	15.84955311	16.48284531	16.96063042	16.70638275
Q15797	Q15797	SMAD1	Mothers against decapentaplegic homolog 1 OS=Homo sapiens OX=9606 GN=SMAD1 PE=1 SV=1			16.20794487	16.32877731	17.62817764	17.55053711	17.31770897	17.37320518	17.24901772	15.64959526	15.02713585	15.23708153	16.26516151	15.07015133	16.01872063	15.39322186	17.30405998	16.27156067	17.14552689	16.46729469	17.3382988	17.21288109	17.23781586	16.6312542	14.71462822	16.27388382	15.3195982	15.60993576	15.5112524	16.02023315
Q9HCN4-5	Q9HCN4	GPN1	Isoform 5 of GPN-loop GTPase 1 OS=Homo sapiens OX=9606 GN=GPN1			16.72161674	16.5700264	17.41893768	16.89952278	17.24671173	17.34555626	17.04067421	18.03516006	17.96469879	17.79816818	18.242033	17.99799728	17.81233788	17.73409271	16.91098785	15.53399658	17.03134155	17.14471626	16.80825424	17.10669327	17.38883972	17.9774456	17.85190582	17.93566132	17.73569489	17.89749527	17.82817459	17.74864197
P52848	P52848	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=NDST1 PE=1 SV=1			17.26460457	17.77364349	16.60770416	16.6982708	17.10539627	16.85467911	17.41008186	18.03440666	18.67664337	18.75463867	18.02327347	18.54361343	18.89670372	19.45180321	17.49463844	18.59314728	17.96889877	17.83502579	17.53275681	17.76787186	16.98278046	18.2054348	19.30138397	18.25164413	19.50592041	19.6798172	19.74115944	18.00409317
Q8N264	Q8N264	ARHGAP24	Rho GTPase-activating protein 24 OS=Homo sapiens OX=9606 GN=ARHGAP24 PE=1 SV=2			16.78974915	18.17868423	17.38308716	16.73361588	17.44857216	16.57674789	16.87276649	18.41724205	16.61725616	17.04842758	17.00000381	18.00824738	18.27305412	17.56935501	17.59816742	16.57593727	17.07387543	16.84797287	17.180233	17.9789257	16.99832153	17.93826485	17.75503159	17.89271927	17.70981216	17.30954742	18.49276352	17.63460922
P01037	P01037	CST1	Cystatin-SN OS=Homo sapiens OX=9606 GN=CST1 PE=1 SV=3			17.12377548	17.91192436	16.38787842	17.47123718	17.15112114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.52814484	14.30647469	19.42631149	14.63735771	18.52213097	15.54939842	18.09744453	NaN	NaN	15.18056011	NaN	NaN	NaN	NaN
O94830	O94830	DDHD2	Phospholipase DDHD2 OS=Homo sapiens OX=9606 GN=DDHD2 PE=1 SV=2			17.51793671	15.06959438	17.84907532	17.97946167	17.22036171	16.3361969	17.87489891	17.0137825	18.43914795	18.91714287	17.34973717	17.19852829	17.39618111	18.01416779	16.69986725	17.36457443	18.27215195	16.06795311	18.16379547	18.14959908	17.30130959	21.08742714	18.53664207	16.47182846	18.98095131	20.75139618	19.58828354	17.33875275
Q86UA1	Q86UA1	PRPF39	Pre-mRNA-processing factor 39 OS=Homo sapiens OX=9606 GN=PRPF39 PE=1 SV=3			16.00565147	16.87740517	17.84273529	17.43827438	17.2746067	17.6604805	17.16736031	16.47523308	15.55078506	16.51554489	16.4857254	16.4985199	16.25788307	16.49234772	16.53893089	16.35164642	16.69300652	15.27779388	16.59638977	16.71947861	17.25133896	16.16676712	15.4433651	16.31272125	16.37678909	16.46855545	15.27521515	16.20730591
Q9BVM4	Q9BVM4	GGACT	Gamma-glutamylaminecyclotransferase OS=Homo sapiens OX=9606 GN=GGACT PE=1 SV=2			17.22750473	16.77486801	16.68276596	17.22819901	17.20227051	17.18735123	17.16419983	16.24923897	NaN	15.76955891	15.26089668	15.54881763	16.43317986	17.10390663	17.45014763	16.9198761	17.58763885	17.42811775	18.04158592	17.69172859	16.81035233	16.70451927	NaN	NaN	16.3221817	17.92421722	17.17933464	16.17412186
Q9H773	Q9H773	DCTPP1	dCTP pyrophosphatase 1 OS=Homo sapiens OX=9606 GN=DCTPP1 PE=1 SV=1			16.72957993	16.79899025	16.57210541	16.93506622	17.28509521	16.78743744	16.51231575	17.60458183	17.02334213	16.94571686	17.64966393	17.83126831	17.3092308	15.92629719	17.25107193	14.18082428	17.00482368	15.2094574	16.71335411	16.97171402	16.95236778	17.64110184	16.52846146	17.20260239	16.19253159	16.12312508	15.86392498	16.65428543
O14545	O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TRAFD1 PE=1 SV=1			17.10213661	16.72254562	17.10468483	15.87330246	17.28469849	17.57421112	17.11168098	18.60167503	18.92173386	19.61306381	19.57862091	18.67905807	18.74069405	18.84706879	16.93691826	15.42330551	16.50274467	16.60560417	16.73347473	16.86168671	17.58600616	18.69376373	18.44877625	18.348423	18.68750381	18.70177269	18.20071411	18.98048401
Q8TCA0	Q8TCA0	LRRC20	Leucine-rich repeat-containing protein 20 OS=Homo sapiens OX=9606 GN=LRRC20 PE=1 SV=1			17.30371666	17.00989914	17.24927711	17.2902813	17.30167198	17.38281059	17.13665581	15.80810356	15.37901497	15.58700371	15.2534771	14.11514854	15.52518654	15.92507648	17.43883324	17.45714188	17.35627365	17.12123108	16.96045685	17.45866966	17.4437294	15.8693676	14.70556831	15.16802597	14.99480057	15.42041206	14.13742256	15.27104664
Q9Y5X9	Q9Y5X9	LIPG	Endothelial lipase OS=Homo sapiens OX=9606 GN=LIPG PE=1 SV=1			15.74650192	15.22771454	16.25443268	17.08163071	17.37581825	16.08274841	14.51157379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.95164967	NaN	NaN	NaN	NaN	NaN	16.65505981	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q96FK6	Q96FK6	WDR89	WD repeat-containing protein 89 OS=Homo sapiens OX=9606 GN=WDR89 PE=2 SV=1			17.60500526	17.15890694	17.13577271	17.42938614	17.27958107	17.13156128	17.26801109	17.59484863	17.41577911	17.50020981	17.64471054	17.60631752	16.72075272	17.08631325	17.24142456	16.69490433	17.32176208	14.91975975	NaN	17.14134026	16.51543427	17.55932236	16.46278381	17.29766464	17.17109871	16.31975937	17.01240158	17.44691467
Q147X3	Q147X3	NAA30	N-alpha-acetyltransferase 30 OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1			16.20072174	16.62949562	17.3624382	16.83804512	17.08119392	17.01895714	16.72174835	17.70722389	17.72911453	17.71285248	17.09934235	17.71127701	17.6294632	17.59098434	16.85748672	16.27846146	16.92509079	17.1005497	16.8401432	17.06134796	17.4152298	17.73789215	17.27523232	17.52283287	17.49175644	17.71731377	17.52334976	17.68322372
Q8NEJ9	Q8NEJ9	NGDN	Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1			17.00659943	16.98620987	17.45713043	17.26014328	17.4281044	18.13125992	17.45133591	18.44838142	18.22974586	18.53486061	18.62741089	18.5747261	18.29538536	17.70929718	17.52456856	15.50581932	17.43554306	17.81092262	17.46152115	17.64415741	18.16534042	18.52994537	17.98191261	18.39808655	17.90130615	17.84283066	17.75977898	18.4343605
P23511	P23511	NFYA	Nuclear transcription factor Y subunit alpha OS=Homo sapiens OX=9606 GN=NFYA PE=1 SV=2			15.49319649	15.37315941	15.61612129	16.55080032	17.10744286	17.37612534	16.88588905	17.08358002	15.65267181	15.90182495	15.97063828	15.63525295	15.85848808	14.93854237	17.00754738	14.34115314	15.07662392	15.07090569	16.6494751	15.6780138	17.59604073	15.81101418	15.74940872	15.29571819	15.27671909	15.18504333	15.36496258	15.22539902
Q7Z5L7-3	Q7Z5L7	PODN	Isoform 3 of Podocan OS=Homo sapiens OX=9606 GN=PODN			16.32927895	16.74933624	17.31133652	16.71030807	17.42337608	16.88203621	16.08470726	16.10607529	16.02776146	17.4848156	16.17151451	16.58203888	16.95168304	17.37779427	16.64896965	17.46249771	16.64803505	17.4570446	16.84835243	16.04663658	16.26701164	15.72425461	16.84137917	17.56916809	17.47445297	17.6477108	17.20212555	17.01703262
Q8N8L6	Q8N8L6	ARL10	ADP-ribosylation factor-like protein 10 OS=Homo sapiens OX=9606 GN=ARL10 PE=2 SV=1			17.42160797	17.07151031	17.16889572	17.24206924	17.25024986	16.91493607	16.4948864	16.82786942	16.281353	16.14889145	15.76614761	16.49690628	16.10440063	15.19685555	17.11201859	14.9244833	16.90798187	15.48352242	16.99296379	17.20006752	16.88233185	15.40480423	NaN	16.25242424	NaN	14.8520031	14.76432228	15.45222282
P0C2W1	P0C2W1	FBXO45	F-box/SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FBXO45 PE=1 SV=1			17.28160858	17.15288353	17.32845306	17.33805084	17.26338768	17.44298935	17.23432159	16.41266632	17.00405884	16.80228233	17.02738953	17.13661575	16.81817055	16.73230362	17.3057518	17.43935204	17.09776306	17.18528748	17.38912201	17.54672813	17.27757835	16.80562973	16.89803696	16.83612061	16.63284302	17.19215012	17.11918831	16.89689255
